crypto,end_date,normalize,normalize_by_row,predictor_cls,predictor_params.daily_allowance,predictor_params.lookahead_days,predictor_params.prob_buy,predictor_params.prob_sell,predictor_params.starting_investment,price_column,save_data,save_roi,start_date,window_size,cv_folds,dev_size,save_results,shuffle_data,training_size,mlp_training,mlp_eval,svc_training,svc_eval
ETH,2019-05-04,True,False,BiffPredictor,5,1,1,1,100,Close,True,False,2017-01-01,20,4,0.5,True,False,0.7,0.546762589928,0.460431654676,0.541966426859,0.470023980815
ETH,2019-05-04,True,False,BiffPredictor,5,1,1,1,100,Close,True,False,2018-01-01,20,4,0.5,True,True,0.7,0.542735042735,0.510638297872,0.512820512821,0.451063829787
ETH,2019-05-04,True,False,BiffPredictor,5,1,1,1,100,Close,True,False,2018-01-01,20,4,0.5,True,False,0.7,0.581196581197,0.514893617021,0.559829059829,0.514893617021
ETH,2019-05-04,True,False,BiffPredictorSmart,5,1,1,1,100,Close,True,False,2016-01-01,20,4,0.5,True,True,0.7,0.53,0.516666666667,0.525,0.48
ETH,2019-05-04,True,False,BiffPredictorSmart,5,1,1,1,100,Close,True,False,2016-01-01,20,4,0.5,True,False,0.7,0.528333333333,0.556666666667,0.518333333333,0.511666666667
ETH,2019-05-04,True,False,BiffPredictorSmart,5,1,1,1,100,Close,True,False,2017-01-01,20,4,0.5,True,True,0.7,0.565947242206,0.496402877698,0.546762589928,0.491606714628
ETH,2019-05-04,True,False,BiffPredictorSmart,5,1,1,1,100,Close,True,False,2017-01-01,20,4,0.5,True,False,0.7,0.553956834532,0.465227817746,0.546762589928,0.465227817746
ETH,2019-05-04,True,False,BiffPredictorSmart,5,1,1,1,100,Close,True,False,2018-01-01,20,4,0.5,True,True,0.7,0.568376068376,0.540425531915,0.538461538462,0.472340425532
ETH,2019-05-04,True,False,BiffPredictorSmart,5,1,1,1,100,Close,True,False,2018-01-01,20,4,0.5,True,False,0.7,0.57264957265,0.506382978723,0.559829059829,0.514893617021
ETH,2019-05-04,True,True,BiffPredictor,5,2,1,1,100,Close,True,False,2016-01-01,20,4,0.5,True,True,0.7,0.55592654424,0.558333333333,0.552587646077,0.546666666667
ETH,2019-05-04,True,True,BiffPredictor,5,2,1,1,100,Close,True,False,2016-01-01,20,4,0.5,True,False,0.7,0.559265442404,0.538333333333,0.535893155259,0.506666666667
ETH,2019-05-04,True,True,BiffPredictor,5,2,1,1,100,Close,True,False,2017-01-01,20,4,0.5,True,True,0.7,0.591346153846,0.513189448441,0.574519230769,0.561151079137
ETH,2019-05-04,True,True,BiffPredictor,5,2,1,1,100,Close,True,False,2017-01-01,20,4,0.5,True,False,0.7,0.584134615385,0.448441247002,0.579326923077,0.525179856115
ETH,2019-05-04,True,True,BiffPredictor,5,2,1,1,100,Close,True,False,2018-01-01,20,4,0.5,True,True,0.7,0.564102564103,0.547008547009,0.547008547009,0.564102564103
ETH,2019-05-04,True,True,BiffPredictor,5,2,1,1,100,Close,True,False,2018-01-01,20,4,0.5,True,False,0.7,0.589743589744,0.521367521368,0.58547008547,0.525641025641
ETH,2019-05-04,True,True,BiffPredictorSmart,5,2,1,1,100,Close,True,False,2016-01-01,20,4,0.5,True,True,0.7,0.57429048414,0.521666666667,0.547579298831,0.531666666667
ETH,2019-05-04,True,True,BiffPredictorSmart,5,2,1,1,100,Close,True,False,2016-01-01,20,4,0.5,True,False,0.7,0.567612687813,0.523333333333,0.579298831386,0.49
ETH,2019-05-04,True,True,BiffPredictorSmart,5,2,1,1,100,Close,True,False,2017-01-01,20,4,0.5,True,True,0.7,0.567307692308,0.453237410072,0.540865384615,0.501199040767
ETH,2019-05-04,True,True,BiffPredictorSmart,5,2,1,1,100,Close,True,False,2017-01-01,20,4,0.5,True,False,0.7,0.586538461538,0.474820143885,0.552884615385,0.529976019185
ETH,2019-05-04,True,True,BiffPredictorSmart,5,2,1,1,100,Close,True,False,2018-01-01,20,4,0.5,True,True,0.7,0.551282051282,0.542735042735,0.547008547009,0.581196581197
ETH,2019-05-04,True,True,BiffPredictorSmart,5,2,1,1,100,Close,True,False,2018-01-01,20,4,0.5,True,False,0.7,0.57264957265,0.542735042735,0.559829059829,0.517094017094
ETH,2019-05-04,True,False,BiffPredictor,5,2,1,1,100,Close,True,False,2016-01-01,20,4,0.5,True,True,0.7,0.54590984975,0.513333333333,0.542570951586,0.5
ETH,2019-05-04,True,False,BiffPredictor,5,2,1,1,100,Close,True,False,2016-01-01,20,4,0.5,True,False,0.7,0.54590984975,0.56,0.520868113523,0.473333333333
ETH,2019-05-04,True,False,BiffPredictor,5,2,1,1,100,Close,True,False,2017-01-01,20,4,0.5,True,True,0.7,0.555288461538,0.544364508393,0.550480769231,0.513189448441
ETH,2019-05-04,True,False,BiffPredictor,5,2,1,1,100,Close,True,False,2017-01-01,20,4,0.5,True,False,0.7,0.574519230769,0.446043165468,0.579326923077,0.479616306954
ETH,2019-05-04,True,False,BiffPredictor,5,2,1,1,100,Close,True,False,2018-01-01,20,4,0.5,True,True,0.7,0.58547008547,0.555555555556,0.576923076923,0.606837606838
ETH,2019-05-04,True,False,BiffPredictor,5,2,1,1,100,Close,True,False,2018-01-01,20,4,0.5,True,False,0.7,0.594017094017,0.525641025641,0.598290598291,0.534188034188
ETH,2019-05-04,True,False,BiffPredictorSmart,5,2,1,1,100,Close,True,False,2016-01-01,20,4,0.5,True,True,0.7,0.544240400668,0.51,0.540901502504,0.506666666667
