crypto,end_date,normalize,normalize_by_row,predictor_cls,predictor_params.daily_allowance,predictor_params.lookahead_days,predictor_params.prob_buy,predictor_params.prob_sell,predictor_params.starting_investment,price_column,standardize,start_date,window_size,cv_folds,dev_size,shuffle_data,training_size,MLPClassifier_training,MLPClassifier_eval,SVC_training,SVC_eval
LTC,2019-09-30,True,False,BiffPredictor,5,1,1,1,100,Close,False,2017-01-01,40,4,0.5,False,0.7,0.548856548857,0.458506224066,0.538461538462,0.460580912863
LTC,2019-09-30,True,False,BiffPredictor,5,1,1,1,100,Close,False,2018-01-01,40,4,0.5,True,0.7,0.585284280936,0.461538461538,0.571906354515,0.484949832776
LTC,2019-09-30,True,False,BiffPredictor,5,1,1,1,100,Close,False,2018-01-01,40,4,0.5,False,0.7,0.581939799331,0.501672240803,0.571906354515,0.494983277592
LTC,2019-09-30,True,False,BiffPredictorSmart,5,1,1,1,100,Close,False,2016-01-01,40,4,0.5,True,0.7,0.527108433735,0.457142857143,0.525602409639,0.497744360902
LTC,2019-09-30,True,False,BiffPredictorSmart,5,1,1,1,100,Close,False,2016-01-01,40,4,0.5,False,0.7,0.540662650602,0.464661654135,0.530120481928,0.451127819549
LTC,2019-09-30,True,False,BiffPredictorSmart,5,1,1,1,100,Close,False,2017-01-01,40,4,0.5,True,0.7,0.540540540541,0.477178423237,0.530145530146,0.483402489627
LTC,2019-09-30,True,False,BiffPredictorSmart,5,1,1,1,100,Close,False,2017-01-01,40,4,0.5,False,0.7,0.538461538462,0.48132780083,0.538461538462,0.460580912863
LTC,2019-09-30,True,False,BiffPredictorSmart,5,1,1,1,100,Close,False,2018-01-01,40,4,0.5,True,0.7,0.56856187291,0.501672240803,0.571906354515,0.478260869565
LTC,2019-09-30,True,False,BiffPredictorSmart,5,1,1,1,100,Close,False,2018-01-01,40,4,0.5,False,0.7,0.571906354515,0.501672240803,0.571906354515,0.494983277592
LTC,2019-09-30,True,True,BiffPredictor,5,2,1,1,100,Close,False,2016-01-01,40,4,0.5,True,0.7,0.567771084337,0.521084337349,0.549698795181,0.558734939759
LTC,2019-09-30,True,True,BiffPredictor,5,2,1,1,100,Close,False,2016-01-01,40,4,0.5,False,0.7,0.558734939759,0.478915662651,0.539156626506,0.503012048193
LTC,2019-09-30,True,True,BiffPredictor,5,2,1,1,100,Close,False,2017-01-01,40,4,0.5,True,0.7,0.544698544699,0.550935550936,0.523908523909,0.613305613306
LTC,2019-09-30,True,True,BiffPredictor,5,2,1,1,100,Close,False,2017-01-01,40,4,0.5,False,0.7,0.532224532225,0.444906444906,0.525987525988,0.444906444906
LTC,2019-09-30,True,True,BiffPredictor,5,2,1,1,100,Close,False,2018-01-01,40,4,0.5,True,0.7,0.587248322148,0.518394648829,0.640939597315,0.551839464883
LTC,2019-09-30,True,True,BiffPredictor,5,2,1,1,100,Close,False,2018-01-01,40,4,0.5,False,0.7,0.597315436242,0.518394648829,0.58389261745,0.511705685619
LTC,2019-09-30,True,True,BiffPredictorSmart,5,2,1,1,100,Close,False,2016-01-01,40,4,0.5,True,0.7,0.549698795181,0.490963855422,0.584337349398,0.515060240964
LTC,2019-09-30,True,True,BiffPredictorSmart,5,2,1,1,100,Close,False,2016-01-01,40,4,0.5,False,0.7,0.551204819277,0.492469879518,0.548192771084,0.504518072289
LTC,2019-09-30,True,True,BiffPredictorSmart,5,2,1,1,100,Close,False,2017-01-01,40,4,0.5,True,0.7,0.557172557173,0.54261954262,0.567567567568,0.513513513514
LTC,2019-09-30,True,True,BiffPredictorSmart,5,2,1,1,100,Close,False,2017-01-01,40,4,0.5,False,0.7,0.534303534304,0.519750519751,0.517671517672,0.451143451143
LTC,2019-09-30,True,True,BiffPredictorSmart,5,2,1,1,100,Close,False,2018-01-01,40,4,0.5,True,0.7,0.580536912752,0.478260869565,0.577181208054,0.578595317726
LTC,2019-09-30,True,True,BiffPredictorSmart,5,2,1,1,100,Close,False,2018-01-01,40,4,0.5,False,0.7,0.587248322148,0.501672240803,0.577181208054,0.508361204013
LTC,2019-09-30,True,False,BiffPredictor,5,2,1,1,100,Close,False,2016-01-01,40,4,0.5,True,0.7,0.531626506024,0.528614457831,0.513554216867,0.519578313253
LTC,2019-09-30,True,False,BiffPredictor,5,2,1,1,100,Close,False,2016-01-01,40,4,0.5,False,0.7,0.542168674699,0.463855421687,0.519578313253,0.456325301205
LTC,2019-09-30,True,False,BiffPredictor,5,2,1,1,100,Close,False,2017-01-01,40,4,0.5,True,0.7,0.588357588358,0.528066528067,0.573804573805,0.505197505198
LTC,2019-09-30,True,False,BiffPredictor,5,2,1,1,100,Close,False,2017-01-01,40,4,0.5,False,0.7,0.54261954262,0.446985446985,0.532224532225,0.444906444906
LTC,2019-09-30,True,False,BiffPredictor,5,2,1,1,100,Close,False,2018-01-01,40,4,0.5,True,0.7,0.597315436242,0.541806020067,0.640939597315,0.551839464883
LTC,2019-09-30,True,False,BiffPredictor,5,2,1,1,100,Close,False,2018-01-01,40,4,0.5,False,0.7,0.60067114094,0.511705685619,0.587248322148,0.511705685619
LTC,2019-09-30,True,False,BiffPredictorSmart,5,2,1,1,100,Close,False,2016-01-01,40,4,0.5,True,0.7,0.546686746988,0.512048192771,0.528614457831,0.522590361446
LTC,2019-09-30,True,False,BiffPredictorSmart,5,2,1,1,100,Close,False,2016-01-01,40,4,0.5,False,0.7,0.524096385542,0.460843373494,0.524096385542,0.460843373494
LTC,2019-09-30,True,False,BiffPredictorSmart,5,2,1,1,100,Close,False,2017-01-01,40,4,0.5,True,0.7,0.54261954262,0.480249480249,0.538461538462,0.49896049896
LTC,2019-09-30,True,False,BiffPredictorSmart,5,2,1,1,100,Close,False,2017-01-01,40,4,0.5,False,0.7,0.523908523909,0.453222453222,0.528066528067,0.451143451143
LTC,2019-09-30,True,False,BiffPredictorSmart,5,2,1,1,100,Close,False,2018-01-01,40,4,0.5,True,0.7,0.570469798658,0.528428093645,0.593959731544,0.535117056856
